@relation openjpa_training_4

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
912.0,952.0,912.0,190.4,980.0,928.0,912.0,185.6,2,5,0,True
533.0,538.0,533.0,134.5,544.0,534.0,533.0,133.5,2,4,0,False
166.0,166.0,166.0,83.0,166.0,166.0,166.0,83.0,1,2,0,False
1012.0,1015.0,1012.0,253.75,1025.0,1019.0,1012.0,254.75,2,4,0,True
124.0,124.0,124.0,62.0,124.0,124.0,124.0,62.0,1,2,0,False
376.0,376.0,376.0,188.0,376.0,376.0,376.0,188.0,1,2,0,True
430.0,430.0,430.0,143.33333,432.0,432.0,430.0,144.0,1,3,0,False
35.0,35.0,35.0,17.5,35.0,35.0,35.0,17.5,1,2,0,False
572.0,575.0,572.0,191.66667,578.0,572.0,572.0,190.66667,2,3,0,False
488.0,488.0,488.0,244.0,488.0,488.0,488.0,244.0,1,2,0,False
520.0,520.0,520.0,260.0,520.0,520.0,520.0,260.0,1,2,0,False
940.0,940.0,940.0,470.0,940.0,940.0,940.0,470.0,1,2,0,False
71.0,71.0,71.0,35.5,71.0,71.0,71.0,35.5,1,2,0,False
254.0,254.0,254.0,84.666664,258.0,258.0,254.0,86.0,1,3,0,False
608.0,608.0,608.0,304.0,608.0,608.0,608.0,304.0,1,2,0,False
112.0,121.0,112.0,40.333332,121.0,121.0,112.0,40.333332,1,3,0,False
43.0,43.0,43.0,21.5,43.0,43.0,43.0,21.5,1,2,0,False
60.0,60.0,60.0,30.0,60.0,60.0,60.0,30.0,1,2,0,False
124.0,124.0,124.0,62.0,124.0,124.0,124.0,62.0,1,2,0,False
184.0,184.0,184.0,92.0,184.0,184.0,184.0,92.0,1,2,0,False
681.0,715.0,681.0,143.0,736.0,694.0,681.0,138.8,2,5,0,True
122.0,122.0,122.0,61.0,122.0,122.0,122.0,61.0,1,2,0,False
2834.0,2977.0,2834.0,425.2857,3080.0,2880.0,2834.0,411.42856,2,7,0,True
33.0,33.0,33.0,16.5,33.0,33.0,33.0,16.5,1,2,0,False
298.0,298.0,298.0,149.0,298.0,298.0,298.0,149.0,1,2,0,False
76.0,76.0,76.0,38.0,76.0,76.0,76.0,38.0,1,2,0,False
60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1,1,0,False
193.0,466.0,237.0,58.25,765.0,255.0,193.0,31.875,2,8,0,True
68.0,153.0,70.0,21.857143,235.0,75.0,68.0,10.714286,2,7,0,False
138.0,285.0,139.0,57.0,421.0,151.0,138.0,30.2,1,5,0,False
518.0,1110.0,535.0,158.57143,1691.0,563.0,518.0,80.42857,3,7,0,False
87.0,183.0,89.0,30.5,274.0,98.0,87.0,16.333334,2,6,0,False
88.0,193.0,99.0,27.571428,296.0,112.0,88.0,16.0,2,7,0,False
71.0,180.0,91.0,30.0,300.0,100.0,71.0,16.666666,1,6,0,False
91.0,236.0,91.0,26.222221,332.0,160.0,91.0,17.777779,2,9,0,False
139.0,292.0,139.0,73.0,442.0,142.0,139.0,35.5,1,4,0,False
157.0,322.0,157.0,80.5,479.0,165.0,157.0,41.25,1,4,0,False
1364.0,2811.0,1364.0,312.33334,4218.0,1420.0,1364.0,157.77777,3,9,0,True
1433.0,3037.0,1433.0,216.92857,4560.0,1564.0,1433.0,111.71429,3,14,0,True
140.0,299.0,140.0,42.714287,376.0,224.0,140.0,32.0,2,7,0,False
63.0,138.0,68.0,27.6,215.0,71.0,63.0,14.2,2,5,0,False
127.0,290.0,134.0,29.0,448.0,172.0,127.0,17.2,2,10,0,False
