Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,156,105,52.0,206,106,105,35.333332,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,150,105,30.0,193,107,105,21.4,3,5,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,127,92,31.75,161,93,92,23.25,3,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,152,101,50.666668,202,102,101,34.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,45,45.0,45,45,45,45.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,290,289,145.0,291,289,289,144.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,36,32,18.0,39,33,32,16.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,111,111.0,111,111,111,111.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,36,35,18.0,37,35,35,17.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,81,81.0,81,81,81,81.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,27,27.0,27,27,27,27.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,28,28.0,28,28,28,28.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,30,29,15.0,31,29,29,14.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,605,566,151.25,639,571,566,142.75,3,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,80,64,40.0,96,64,64,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,30,29,15.0,31,29,29,14.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,65,64,32.5,66,64,64,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,40,37,20.0,43,37,37,18.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,79,68,39.5,90,68,68,34.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,166,154,55.333332,177,155,154,51.666668,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,73,72,36.5,74,72,72,36.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,421,385,70.166664,436,406,385,67.666664,3,6,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,78,76,39.0,80,76,76,38.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,164,159,54.666668,168,160,159,53.333332,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,887,737,295.66666,1036,738,737,246.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,76,74,38.0,78,74,74,37.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,98,94,32.666668,101,95,94,31.666666,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,22,22.0,22,22,22,22.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,440,427,146.66667,452,428,427,142.66667,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,62,62.0,62,62,62,62.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,59,58,29.5,60,58,58,29.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,96,91,48.0,101,91,91,45.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,28,27,14.0,29,27,27,13.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77,79,77,39.5,81,77,77,38.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704,743,704,247.66667,781,705,704,235.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,63,67,63,33.5,71,63,63,31.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37,37,37,37.0,37,37,37,37.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64,65,64,32.5,66,64,64,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,124,127,124,63.5,130,124,124,62.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,160,168,160,42.0,175,161,160,40.25,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36,41,36,20.5,46,36,36,18.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,61,58,30.5,63,59,58,29.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,62,62,62.0,62,62,62,62.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,130,143,130,35.75,155,131,130,32.75,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,77,74,38.5,79,75,74,37.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,83,87,83,29.0,90,84,83,28.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,74,74,74.0,74,74,74,74.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48,50,48,25.0,52,48,48,24.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60,61,60,30.5,62,60,60,30.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,70,76,70,25.333334,82,70,70,23.333334,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,183,205,183,51.25,224,186,183,46.5,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,53,53,53.0,53,53,53,53.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452,474,452,118.5,494,454,452,113.5,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39,39,39,39.0,39,39,39,39.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,78,82,78,41.0,86,78,78,39.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,64,65,64,32.5,66,64,64,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,31,32,31,16.0,33,31,31,15.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,57,61,57,30.5,65,57,57,28.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,104,111,104,55.5,118,104,104,52.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,32,32,32.0,32,32,32,32.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,227,280,227,93.333336,332,228,227,76.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,197,218,197,54.5,229,207,197,51.75,3,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,75,81,75,40.5,87,75,75,37.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,28,28,28,28.0,28,28,28,28.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,52,54,52,27.0,56,52,52,26.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,429,507,429,169.0,584,430,429,143.33333,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,103,133,103,66.5,163,103,103,51.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,35,35,35,35.0,35,35,35,35.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,98,99,98,49.5,100,98,98,49.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,79,95,79,31.666666,110,80,79,26.666666,2,3,0,False
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,265,215,88.333336,277,253,215,84.333336,1,3,1,False
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,295,271,147.5,308,282,271,141.0,1,2,0,False
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,560,451,112.0,643,485,451,97.0,3,5,0,False
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,0,0,0.0,0,0,0,0.0,0,0,0,False
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,368,305,294,152.5,486,124,123,62.0,2,2,0,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,580,106,29.0,1422,612,327,30.6,3,20,7,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,51,52,51,26.0,54,52,51,26.0,2,2,0,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,63,58,31.5,68,58,53,29.0,2,2,1,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,31,31,31,15.5,33,33,31,16.5,2,2,0,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,684,684,684,684.0,684,684,684,684.0,1,1,0,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,0,0,0.0,0,0,0,0.0,0,0,0,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,203,196,101.5,209,197,196,98.5,1,2,1,False
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,482,388,253,29.846153,765,291,129,22.384615,3,13,5,False
