Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,344,386,344,42.88889,436,362,344,40.22222,2,9,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java,57,62,57,15.5,68,58,57,14.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java,40,40,40,20.0,40,40,40,20.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,266,287,266,71.75,308,266,266,66.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,139,165,139,33.0,189,141,139,28.2,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java,60,60,60,30.0,60,60,60,30.0,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,222,266,222,53.2,326,238,222,47.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,159,191,159,38.2,221,163,159,32.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java,51,52,51,17.333334,53,51,51,17.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,48,48,48,24.0,48,48,48,24.0,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java,48,48,48,24.0,48,48,48,24.0,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,198,228,198,45.6,255,201,198,40.2,2,5,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java,165,191,165,31.833334,222,174,165,29.0,2,6,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,156,169,156,42.25,187,161,156,40.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,192,215,192,53.75,234,196,192,49.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,957,957,957,478.5,957,957,957,478.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,341,341,341,170.5,341,341,341,170.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java,112,112,112,56.0,112,112,112,56.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DelegatingJoinable.java,125,125,125,62.5,125,125,125,62.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,411,443,411,147.66667,447,439,411,146.33333,2,3,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,173,173,173,86.5,173,173,173,86.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java,69,71,69,23.666666,73,69,69,23.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java,82,84,82,28.0,86,82,82,27.333334,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,1010,1028,1010,342.66666,1049,1013,1010,337.66666,2,3,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,329,329,329,164.5,329,329,329,164.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldStrategy.java,244,253,244,84.333336,263,245,244,81.666664,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,84,84,84,42.0,84,84,84,42.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java,43,43,43,21.5,43,43,43,21.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,69,69,69,34.5,69,69,69,34.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java,64,64,64,32.0,64,64,64,32.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java,161,167,161,55.666668,173,161,161,53.666668,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,86,86,86,43.0,86,86,86,43.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java,304,304,304,152.0,304,304,304,152.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,703,703,703,351.5,703,703,703,351.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,1749,1758,1749,439.5,1766,1752,1749,438.0,1,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,1179,1251,1179,250.2,1279,1225,1179,245.0,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java,68,68,68,34.0,68,68,68,34.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,1122,1224,1122,174.85715,1308,1156,1122,165.14285,3,7,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MetaDataPlusMappingFactory.java,139,139,139,69.5,139,139,139,69.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java,163,163,163,81.5,163,163,163,81.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneStrategyInstaller.java,60,60,60,30.0,60,60,60,30.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,231,231,231,115.5,231,231,231,115.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,606,606,606,202.0,608,608,606,202.66667,1,3,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java,135,135,135,67.5,135,135,135,67.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,34,34,34,17.0,34,34,34,17.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,160,160,160,80.0,160,160,160,80.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,2053,2056,2053,685.3333,2059,2053,2053,684.3333,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java,93,93,93,46.5,93,93,93,46.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping.java,149,149,149,74.5,149,149,149,74.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Strategy.java,131,131,131,65.5,131,131,131,65.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/StrategyInstaller.java,67,67,67,33.5,67,67,67,33.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueHandler.java,99,101,99,33.666668,103,99,99,33.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMapping.java,265,269,265,89.666664,273,265,265,88.333336,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,534,535,534,178.33333,538,536,534,178.66667,1,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java,318,318,318,159.0,318,318,318,159.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,365,365,365,182.5,365,365,365,182.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionMappingInfo.java,86,86,86,28.666666,90,90,86,30.0,1,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionStrategy.java,74,74,74,37.0,74,74,74,37.0,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractClassStrategy.java,79,79,79,39.5,79,79,79,39.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractDiscriminatorStrategy.java,89,91,89,30.333334,93,89,89,29.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy.java,173,182,173,60.666668,192,174,173,58.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractStrategy.java,78,78,78,39.0,78,78,78,39.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractValueHandler.java,58,60,58,20.0,62,58,58,19.333334,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java,67,67,67,33.5,67,67,67,33.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/BlobValueHandler.java,48,48,48,24.0,48,48,48,24.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ByteArrayValueHandler.java,59,59,59,29.5,59,59,59,29.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayStreamValueHandler.java,80,80,80,40.0,80,80,80,40.0,1,2,0,False
