@relation bookkeeper_training_1

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
104.0,111.0,104.0,55.5,118.0,104.0,104.0,52.0,2,2,0,False
32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1,1,0,False
227.0,280.0,227.0,93.333336,332.0,228.0,227.0,76.0,2,3,0,False
197.0,218.0,197.0,54.5,229.0,207.0,197.0,51.75,3,4,0,False
75.0,81.0,75.0,40.5,87.0,75.0,75.0,37.5,2,2,0,False
28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1,1,0,False
52.0,54.0,52.0,27.0,56.0,52.0,52.0,26.0,2,2,0,False
429.0,507.0,429.0,169.0,584.0,430.0,429.0,143.33333,2,3,0,False
103.0,133.0,103.0,66.5,163.0,103.0,103.0,51.5,2,2,0,False
35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,1,1,0,False
98.0,99.0,98.0,49.5,100.0,98.0,98.0,49.0,2,2,0,False
79.0,95.0,79.0,31.666666,110.0,80.0,79.0,26.666666,2,3,0,False
215.0,265.0,215.0,88.333336,277.0,253.0,215.0,84.333336,1,3,1,False
271.0,295.0,271.0,147.5,308.0,282.0,271.0,141.0,1,2,0,False
451.0,560.0,451.0,112.0,643.0,485.0,451.0,97.0,3,5,0,False
137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
368.0,305.0,294.0,152.5,486.0,124.0,123.0,62.0,2,2,0,False
764.0,580.0,106.0,29.0,1422.0,612.0,327.0,30.6,3,20,7,False
51.0,52.0,51.0,26.0,54.0,52.0,51.0,26.0,2,2,0,False
150.0,63.0,58.0,31.5,68.0,58.0,53.0,29.0,2,2,1,False
31.0,31.0,31.0,15.5,33.0,33.0,31.0,16.5,2,2,0,False
684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,1,1,0,False
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
196.0,203.0,196.0,101.5,209.0,197.0,196.0,98.5,1,2,1,False
482.0,388.0,253.0,29.846153,765.0,291.0,129.0,22.384615,3,13,5,False
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,1,1,False
259.0,136.0,79.0,27.2,217.0,55.0,20.0,11.0,1,5,2,False
379.0,620.0,379.0,155.0,642.0,598.0,379.0,149.5,3,4,1,False
510.0,681.0,510.0,85.125,720.0,674.0,510.0,84.25,3,8,1,False
32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1,1,0,False
66.0,71.0,66.0,35.5,79.0,69.0,66.0,34.5,1,2,0,False
187.0,217.0,187.0,43.4,243.0,195.0,187.0,39.0,2,5,2,False
576.0,615.0,576.0,205.0,628.0,602.0,576.0,200.66667,2,3,0,False
158.0,162.0,158.0,54.0,165.0,159.0,158.0,53.0,1,3,0,False
46.0,128.0,92.0,16.0,761.0,579.0,531.0,72.375,2,8,2,False
27.0,28.0,27.0,14.0,81.0,79.0,52.0,39.5,1,2,0,False
788.0,918.0,788.0,131.14285,972.0,864.0,788.0,123.42857,3,7,4,False
60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1,1,0,False
62.0,74.0,36.0,14.8,235.0,159.0,88.0,31.8,1,5,1,False
88.0,93.0,88.0,46.5,123.0,113.0,88.0,56.5,1,2,0,False
52.0,54.0,52.0,27.0,57.0,53.0,52.0,26.5,1,2,0,False
163.0,9.0,6.0,4.5,12.0,6.0,4.0,3.0,2,2,1,False
91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,1,1,0,False
147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,1,1,0,False
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,1,1,0,False
139.0,12.0,12.0,12.0,22.0,2.0,2.0,2.0,1,1,1,False
282.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1,1,0,False
582.0,152.0,106.0,25.333334,270.0,116.0,68.0,19.333334,3,6,3,False
800.0,91.0,73.0,22.75,110.0,72.0,62.0,18.0,2,4,1,False
